Week,Rank,Cover,Genre,Song,Artist,Last_Week,Peak,Weeks_on_Chart
2026-02-07,1,https://charts-static.billboard.com/img/2017/04/harry-styles-tuw-180x180.jpg,Pop,Aperture,Harry Styles,-,1,1
2026-02-07,2,https://charts-static.billboard.com/img/2025/11/ellalangley-0yx-choosintexas-3s2-180x180.jpg,Country,Choosin' Texas,Ella Langley,6,2,15
2026-02-07,3,https://charts-static.billboard.com/img/2025/08/oliviadean-8k4-manineed-jej-180x180.jpg,Pop,Man I Need,Olivia Dean,2,2,23
2026-02-07,4,https://charts-static.billboard.com/img/2025/07/huntrxejaeaudreynunareiami-o2t-golden-ozh-180x180.jpg,K-Pop,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",4,1,32
2026-02-07,5,https://charts-static.billboard.com/img/2025/10/taylor-swift-vug-thefateofophelia-ki7-180x180.jpg,Pop,The Fate Of Ophelia,Taylor Swift,3,1,17
2026-02-07,6,https://charts-static.billboard.com/img/2010/01/bruno-mars-8dl-180x180.jpg,Pop,I Just Might,Bruno Mars,1,1,3
2026-02-07,7,https://charts-static.billboard.com/img/2025/02/alexwarren-vcb-ordinary-jb8-180x180.jpg,Pop,Ordinary,Alex Warren,5,1,50
2026-02-07,8,https://charts-static.billboard.com/img/2025/02/sombr-2ps-backtofriends-xkb-180x180.jpg,Alternative,Back To Friends,sombr,7,7,44
2026-02-07,9,https://charts-static.billboard.com/img/2025/06/kehlani-b5q-folded-beh-180x180.jpg,R&B/Soul,Folded,Kehlani,8,6,33
2026-02-07,10,https://charts-static.billboard.com/img/2025/10/taylor-swift-vug-opalite-05j-180x180.jpg,Pop,Opalite,Taylor Swift,10,2,17
2026-02-07,11,https://charts-static.billboard.com/img/2024/02/djo-fyo-endofbeginning-lak-180x180.jpg,Alternative,End Of Beginning,Djo,9,6,26
2026-02-07,12,https://charts-static.billboard.com/img/2024/10/leonthomas-y3w-mutt-ch5-180x180.jpg,R&B/Soul,Mutt,Leon Thomas,11,6,51
2026-02-07,13,https://charts-static.billboard.com/img/2025/10/raye-azb-whereismyhusband-mtb-180x180.jpg,Pop,Where Is My Husband!,RAYE,13,13,18
2026-02-07,14,https://charts-static.billboard.com/img/2026/01/lil-uzi-vert-z30-whatyousaying-y59-180x180.jpg,Hip-Hop/Rap,What You Saying,Lil Uzi Vert,12,12,5
2026-02-07,15,https://charts-static.billboard.com/img/2025/05/morgan-wallen-eos-igotbetter-8s9-180x180.jpg,Country,I Got Better,Morgan Wallen,14,7,33
2026-02-07,16,https://charts-static.billboard.com/img/2022/01/oliviadean-8k4-180x180.jpg,Pop,So Easy (To Fall In Love),Olivia Dean,17,14,18
2026-02-07,17,https://charts-static.billboard.com/img/2025/05/morgan-wallen-eos-20cigarettes-37w-180x180.jpg,Country,20 Cigarettes,Morgan Wallen,18,15,36
2026-02-07,18,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg,Pop,Daisies,Justin Bieber,15,2,28
2026-02-07,19,https://charts-static.billboard.com/img/2025/11/siennaspiro-o5d-dieonthishill-f28-180x180.jpg,Pop,Die On This Hill,Sienna Spiro,20,19,6
2026-02-07,20,https://charts-static.billboard.com/img/2016/09/gunna-t8f-180x180.jpg,Pop,wgft,GunnaFeaturingBurna Boy,16,16,25
2026-02-07,21,https://charts-static.billboard.com/img/2015/07/luke-combs-vjy-180x180.jpg,Country,Sleepless In A Hotel Room,Luke Combs,21,17,3
